"kegg","intpathway","LCS","Gene Agreement","GenePair Agreement"
"succinate_dehydrogenase_(ubiquinone)","salvage_pathways_of_adenine,_hypoxanthine_and_their_nucleosides","0","0.019","0.000"
"succinate_dehydrogenase_(ubiquinone)","lipoic_acid_metabolism","0","0.008","0.000"
"succinate_dehydrogenase_(ubiquinone)","phenylalanine,_tyrosine,_tryptophan_biosynthesis","0","0.045","0.001"
"succinate_dehydrogenase_(ubiquinone)","superpathway_of_tca_cycle_and_glyoxylate_cycle","0","0.069","0.001"
"succinate_dehydrogenase_(ubiquinone)","glutathione-glutaredoxin_system","0","0.016","0.000"
"succinate_dehydrogenase_(ubiquinone)","dehydro-d-arabinono-1,4-lactone_biosynthesis","1","0.008","0.000"
"succinate_dehydrogenase_(ubiquinone)","galactose_degradation","0","0.014","0.000"
"succinate_dehydrogenase_(ubiquinone)","cysteine_biosynthesis_from_homoserine","1","0.011","0.000"
"succinate_dehydrogenase_(ubiquinone)","fatty_acid_biosynthesis,_initial_steps","0","0.019","0.000"
"succinate_dehydrogenase_(ubiquinone)","sucrose_degradation","1","0.003","0.000"
"succinate_dehydrogenase_(ubiquinone)","methylglyoxal_catabolism","0","0.008","0.000"
"succinate_dehydrogenase_(ubiquinone)","tca_cycle,_aerobic_respiration","1","0.053","0.000"
"succinate_dehydrogenase_(ubiquinone)","lipases_biosynthesis","0","0.011","0.000"
"succinate_dehydrogenase_(ubiquinone)","acetoin_biosynthesis","0","0.016","0.000"
"succinate_dehydrogenase_(ubiquinone)","mevalonate_pathway","0","0.024","0.000"
"succinate_dehydrogenase_(ubiquinone)","pyrimidine_metabolism","0","0.174","0.003"
"succinate_dehydrogenase_(ubiquinone)","stearate_biosynthesis","1","0.011","0.000"
"succinate_dehydrogenase_(ubiquinone)","ether_lipid_metabolism","0","0.014","0.000"
"succinate_dehydrogenase_(ubiquinone)","serine_biosynthesis","0","0.011","0.000"
"succinate_dehydrogenase_(ubiquinone)","superpathway_of_ergosterol_biosynthesis","1","0.058","0.001"
"succinate_dehydrogenase_(ubiquinone)","glutathione_metabolism","0","0.061","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","fatty_acid_oxidation","0","0.015","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","glycine_biosynthesis_from_threonine","0","0.002","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","1","0.005","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","n-glycan_biosynthesis","0","0.062","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","glycerolipid_metabolism","0","0.026","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","other_glycan_degradation","0","0.002","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","trehalose_biosynthesis","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","butanoate_metabolism","0","0.031","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","trehalose_degradation,_low_osmolarity","1","0.008","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","phenylalanine_metabolism","0","0.014","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","cholesterol_biosynthesis","0","0.020","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","histidine_biosynthesis","0","0.011","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","oleate_biosynthesis","0","0.002","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","methionine_salvage_pathway","0","0.022","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","protein_export","0","0.032","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","pyruvate_dehydrogenase_pathway","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","dna_replication","0","0.056","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","rump_cycle_and_formaldehyde_assimilation","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","genes_of_meiotic_recombination","0","0.025","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","mannose_degradation","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","tyrosine_biosynthesis","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","glycerophospholipid_metabolism","0","0.044","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","sphingolipid_metabolism","0","0.029","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","basal_transcription_factors","0","0.037","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","glucose-1-phosphate_metabolism","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","superpathway_of_heme_and_siroheme_biosynthesis","0","0.015","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","peroxisome","0","0.049","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","lactose_degradation","0","0.011","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","glycine_cleavage_complex","0","0.005","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","glycolysis_and_gluconeogenesis","0","0.092","0.001"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","lysine_biosynthesis","0","0.017","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","sulfur_metabolism","0","0.023","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","terpenoid_backbone_biosynthesis","0","0.020","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","trehalose_anabolism","0","0.012","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","phagosome","0","0.052","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","valine,_leucine_and_isoleucine_degradation","0","0.034","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","arginine_degradation","0","0.008","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","base_excision_repair","0","0.026","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","superpathway_of_fatty_acid_biosynthesis,","0","0.012","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","pathways_of_chorismate","0","0.038","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","glutamate_degradation","0","0.029","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","glycine_degradation","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","folate_transformations","0","0.017","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","folate_biosynthesis","0","0.031","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","rna_transport","0","0.112","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","xylulose-monophosphate_cycle","0","0.008","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","phenylalanine_degradation","0","0.019","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","homocysteine_and_cysteine_interconversion","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","aerobic_respiration,_electron_transport_chain","0","0.041","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","superpathway_of_histidine,_purine,_and_pyrimidine","0","0.070","0.001"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","butanediol_degradation","0","0.002","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","cyanoamino_acid_metabolism","0","0.014","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","fructose_and_mannose_metabolism","0","0.041","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","riboflavin,_fmn_and_fad_biosynthesis","0","0.012","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","valine_degradation","0","0.017","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","aerobic_glycerol_catabolism","0","0.026","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","glutathione_degradation","0","0.003","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","phenylalanine_and_tyrosine_biosynthesis","0","0.008","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","synthesis_and_degradation_of_ketone_bodies","0","0.003","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","pantothenate_and_coa_biosynthesis","0","0.029","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","purine_metabolism","0","0.137","0.001"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","histidine_metabolism","0","0.023","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","sulfur_amino_acid_biosynthesis","0","0.022","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","oxidative_phosphorylation","0","0.096","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","alanine_biosynthesis","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","formaldehyde_oxidation_ii_(glutathione-dependent)","1","0.005","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","inositol_phosphate_metabolism","0","0.023","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","valine_biosynthesis","0","0.009","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","hexaprenyl_diphosphate_biosynthesis","0","0.008","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","alpha-linolenic_acid_metabolism","0","0.003","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","tryptophan_metabolism","0","0.029","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","homologous_recombination","0","0.029","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","citrulline_biosynthesis","0","0.005","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","pyruvate_metabolism","0","0.050","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","folate_interconversions","0","0.019","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","meiosis_-_yeast","0","0.184","0.001"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","endocytosis","0","0.056","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","phospholipid_biosynthesis","0","0.022","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","mismatch_repair","0","0.029","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","ubiquinone_biosynthesis","0","0.014","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","carbon_monoxide_dehydrogenase_pathway","0","0.003","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","trehalose_degradation","0","0.003","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","alanine,_aspartate_and_glutamate_metabolism","0","0.046","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","glycine,_serine_and_threonine_metabolism","0","0.037","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","nad_biosynthesis","0","0.015","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","fatty_acid_metabolism","0","0.026","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","fatty_acid_biosynthesis","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","tetrapyrrole_biosynthesis","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","superpathway_of_nad_biosynthesis","0","0.023","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","p-cymene_degradation","0","0.009","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","arachidonic_acid_metabolism","0","0.008","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","riboflavin_metabolism","0","0.022","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","serine-isocitrate_lyase_pathway","0","0.028","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","glycine_biosynthesis_from_serine","0","0.003","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","butanediol_biosynthesis","0","0.002","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","biotin_biosynthesis","0","0.005","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","toulene_degradation","0","0.009","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","l-serine_degradation","0","0.002","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","glyoxylate_cycle","0","0.012","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","dolichyl_phosphate_d-mannose_biosynthesis","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","phosphatidate_biosynthesis_ii_(the_glycerol-3-phosphate_pathway)","1","0.008","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","4-aminobutyrate_degradation","0","0.003","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","dolichyl_glucosyl_phosphate_biosynthesis","0","0.008","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","superpathway_of_phosphatidate_biosynthesis","0","0.009","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","superpathway_of_polyamine_biosynthesis","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","alanine_degradation","0","0.002","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","ribosome_biogenesis_in_eukaryotes","0","0.112","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","serine_biosynthesis_from_glyoxylate","0","0.003","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","translation_factors","0","0.059","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","propanoate_metabolism","0","0.017","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","cell_cycle_and_cell_division","0","0.152","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","arginine_and_proline_metabolism","0","0.046","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","carnitine_shuttle","0","0.005","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","superpathway_of_glutathione_metabolism_(truncated_&gamma;-glutamyl_cycle)","1","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","triglyceride_biosynthesis","0","0.012","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","limonene_and_pinene_degradation","0","0.008","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","sulfate_assimilation_pathway","0","0.014","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","abc_transporters","0","0.005","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","udp-n-acetylglucosamine_biosynthesis","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","removal_of_superoxide_radicals","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","p-aminobenzoate_biosynthesis","0","0.003","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","ribose_and_deoxyribose_phosphate_metabolism","0","0.008","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","methionine_biosynthesis","0","0.011","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","pentosephosphatweg","0","0.019","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","<i>myo</i>-inositol_biosynthesis","0","0.005","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","superpathway_of_purine_biosynthesis_and_salvage_pathways","0","0.053","0.001"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","tryptophan_degradation","0","0.029","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","thiamine_metabolism","0","0.008","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","nucleotide_excision_repair","0","0.055","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","upiquinone_q_prenylation","0","0.008","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","ubiquitin_mediated_proteolysis","0","0.070","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","glucose_fermentation","0","0.050","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","polyamine_biosynthesis","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","phosphatidylinositol_signaling_system","0","0.023","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","glutathione-glutaredoxin_redox_reaction","0","0.017","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","octane_oxidation","0","0.008","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","spliceosome","0","0.105","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","udp-glucose_conversion","0","0.008","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","sulfur_relay_system","0","0.012","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","allantoin_degradation","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","de_novo_biosynthesis_of_pyrimidine_ribonucleotides","0","0.031","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","porphyrin_and_chlorophyll_metabolism","0","0.025","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","threonine_and_methionine_biosynthesis","0","0.020","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","heme_biosynthesis","0","0.015","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","myristate_biosynthesis","0","0.005","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","glyoxylate_and_dicarboxylate_metabolism","0","0.023","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","purine_fermentation","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","salvage_pathways_of_purines_and_their_nucleosides","1","0.014","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","chorismate_biosynthesis","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","beta-alanine_metabolism","0","0.012","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","glycogen_biosynthesis","0","0.014","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","rna_degradation","0","0.086","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","serine_and_glycine_biosynthesis","0","0.012","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","periplasmic_nad_degradation","0","0.002","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","asparagine_degradation","0","0.011","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","starch_and_sucrose_metabolism","0","0.061","0.001"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","phenylalanine_biosynthesis","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","vitamin_b6_metabolism","0","0.017","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","valine,_leucine_and_isoleucine_biosynthesis","0","0.028","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","pyruvate_dehydrogenase_complex","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","proline_biosynthesis","0","0.005","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","cytoplasmic_trna_synthetases","0","0.029","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","de_novo_biosynthesis_of_purine_nucleotides","0","0.038","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","putrescine_biosynthesis","0","0.002","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","threonine_biosynthesis","0","0.008","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","sulfur_degradation","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","biosynthesis_of_secondary_metabolites","0","0.319","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","mrna_surveillance_pathway","0","0.049","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","methane_metabolism","0","0.044","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","pentose_phosphate_pathway","0","0.043","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","phospholipids_degradation","0","0.005","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","pentose_and_glucuronate_interconversions","0","0.015","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","arginine_biosynthesis","0","0.014","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","folate_polyglutamylation","0","0.012","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","palmitoleate_and_palmitate_biosynthesis","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","homocysteine_biosynthesis","0","0.003","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","snare_interactions_in_vesicular_transport","0","0.035","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","s-adenosylmethionine_biosynthesis","0","0.003","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","galactose_metabolism","0","0.035","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","principle_pathways_of_carbon_metabolism","0","0.117","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","glycerol_teichoic_acid_biosynthesis","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","serine_biosynthesis_from_3-phosphoglycerate","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","valine,_leucine_and_isoleucine_biosynthesis","0","0.028","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","s-adenosylmethionine_cycle","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","anaerobic_respiration","0","0.003","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","proline_utilization","0","0.003","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","cysteine_biosynthesis/homocysteine_degradation","0","0.003","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","lipid-linked_oligosaccharide_biosynthesis","0","0.020","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","selenocompound_metabolism","0","0.019","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","nitrogen_metabolism","0","0.025","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","asparagine_biosynthesis","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","salvage_pathways_of_pyrimidine_ribonucleotides","0","0.009","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","folic_acid_biosynthesis","0","0.015","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","ethanol_degradation","0","0.006","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","protein_modifications","0","0.019","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","chitin_biosynthesis","0","0.005","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","starch_and_cellulose_biosynthesis","0","0.008","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","homoserine_biosynthesis","0","0.005","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","de_novo_biosyn._of_pyrimidine_deoxyribonucleotides","0","0.012","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","protein_processing_in_endoplasmic_reticulum","0","0.117","0.000"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","biosynthesis_of_unsaturated_fatty_acids","0","0.014","0.000"
