"Weight set: ","[0.0, 0.0, 0.0, 1.0]"
"intpathway","wikipathways","LCS","Normalized LCS","Gene Agreement","GenePair Agreement","Score"
"sucrose_degradation","sc_trehalose_degradation,_low_osmolarity_wp70_70048","18","0.333","0.003","0.000","0.333"
"sulfate_assimilation_pathway","sc_sulfate_assimilation_pathway_ii_wp579_70251","28","0.542","0.000","0.000","0.542"
"sulfur_amino_acid_biosynthesis","sc_sulfur_amino_acid_biosynthesis_wp7_70252","30","0.583","0.000","0.000","0.583"
"sulfur_degradation","sc_sulfur_degradation_wp440_69875","18","0.333","0.000","0.000","0.333"
"sulfur_metabolism","sc_principle_pathways_of_carbon_metabolism_wp112_78138","15","0.271","0.496","0.068","0.271"
"sulfur_relay_system","sc_sulfur_amino_acid_biosynthesis_wp7_70252","13","0.229","0.059","0.001","0.229"
"superpathway_of_acetoin_and_butanediol_biosynthesis","sc_superpathway_of_glutamate_biosynthesis_wp191_69812","33","0.646","0.023","0.000","0.646"
"superpathway_of_chorismate","sc_pathways_of_chorismate_wp213_71175","22","0.417","0.000","0.096","0.417"
"superpathway_of_ergosterol_biosynthesis","sc_superpathway_of_glutamate_biosynthesis_wp191_69812","32","0.625","0.081","0.001","0.625"
"superpathway_of_fatty_acid_biosynthesis,","sc_superpathway_of_glutamate_biosynthesis_wp191_69812","31","0.604","0.030","0.000","0.604"
"superpathway_of_glutamate_biosynthesis","sc_superpathway_of_glutamate_biosynthesis_wp191_69812","38","0.750","0.000","0.000","0.750"
"superpathway_of_glutathione_metabolism_(truncated_&gamma;-glutamyl_cycle)","sc_superpathway_of_glutamate_biosynthesis_wp191_69812","32","0.625","0.015","0.000","0.625"
"superpathway_of_heme_and_siroheme_biosynthesis","sc_superpathway_of_glutamate_biosynthesis_wp191_69812","32","0.625","0.037","0.000","0.625"
"superpathway_of_histidine,_purine,_and_pyrimidine","sc_superpathway_of_histidine,_purine,_and_pyrimidine_wp416_71897","49","0.979","0.000","0.338","0.979"
"superpathway_of_leucine,_isoleucine,_and_valine_biosynthesis","sc_isoleucine,_leucine,_and_valine_biosynthesis_wp198_69820","44","0.875","0.000","0.004","0.875"
"superpathway_of_nad_biosynthesis","sc_superpathway_of_glutamate_biosynthesis_wp191_69812","30","0.583","0.056","0.001","0.583"
"superpathway_of_phosphatidate_biosynthesis","sc_superpathway_of_glutamate_biosynthesis_wp191_69812","33","0.646","0.023","0.000","0.646"
"superpathway_of_phospholipid_biosynthesis","sc_phosphatidic_acid_and_phospholipid_biosynthesis_wp472_71340","33","0.646","0.000","0.001","0.646"
"superpathway_of_polyamine_biosynthesis","sc_superpathway_of_glutamate_biosynthesis_wp191_69812","33","0.646","0.015","0.000","0.646"
"superpathway_of_purine_biosynthesis_and_salvage_pathways","sc_superpathway_of_glutamate_biosynthesis_wp191_69812","33","0.646","0.126","0.004","0.646"
"superpathway_of_sulfur_amino_acid_biosynthesis","sc_superpathway_of_glutamate_biosynthesis_wp191_69812","34","0.667","0.077","0.001","0.667"
"superpathway_of_tca_cycle_and_glyoxylate_cycle","sc_superpathway_of_histidine,_purine,_and_pyrimidine_wp416_71897","27","0.521","0.476","0.060","0.521"
"superpathway_of_ubiquinone_biosynthesis","sc_superpathway_of_glutamate_biosynthesis_wp191_69812","31","0.604","0.030","0.000","0.604"
"synthesis_and_degradation_of_ketone_bodies","sc_tryptophan_degradation_via_kynurenine_wp452_70274","25","0.479","0.007","0.000","0.479"
"taurine_and_hypotaurine_metabolism","sc_ribose_and_deoxyribose_phosphate_metabolism_wp220_69826","24","0.458","0.007","0.000","0.458"
"tca_cycle","sc_tca_cycle_wp490_78394","9","0.146","0.000","0.000","0.146"
"tca_cycle,_aerobic_respiration","sc_anaerobic_respiration_wp575_73676","21","0.396","0.000","0.000","0.396"
"terpenoid_backbone_biosynthesis","sc_threonine_and_methionine_biosynthesis_wp423_69874","23","0.438","0.055","0.001","0.438"
"tetrapyrrole_biosynthesis","sc_superpathway_of_glutamate_biosynthesis_wp191_69812","20","0.375","0.015","0.000","0.375"
"thiamine_metabolism","sc_principle_pathways_of_carbon_metabolism_wp112_78138","15","0.271","0.204","0.027","0.271"
"thioredoxin_system","sc_glutathione-glutaredoxin_redox_reaction_wp392_69870","13","0.229","0.016","0.000","0.229"
"threonine_and_methionine_biosynthesis","sc_threonine_and_methionine_biosynthesis_wp423_69874","37","0.729","0.000","0.001","0.729"
"threonine_biosynthesis","sc_threonine_and_methionine_biosynthesis_wp423_69874","22","0.417","0.000","0.000","0.417"
"threonine_degradation","sc_methionine_degradation_wp46_69881","19","0.354","0.004","0.000","0.354"
"toulene_degradation","sc_toluene_degradation_wp60_78389","18","0.333","0.000","0.000","0.333"
"translation_factors","sc_translation_factors_wp32_71347","19","0.354","0.000","0.000","0.354"
"trehalose_anabolism","sc_trehalose_degradation,_low_osmolarity_wp70_70048","16","0.292","0.000","0.000","0.292"
"trehalose_biosynthesis","sc_trehalose_biosynthesis_wp239_70272","22","0.417","0.000","0.000","0.417"
"trehalose_degradation","sc_trehalose_degradation,_low_osmolarity_wp70_70048","21","0.396","0.000","0.000","0.396"
"trehalose_degradation,_low_osmolarity","sc_trehalose_degradation,_low_osmolarity_wp70_70048","37","0.729","0.000","0.000","0.729"
"triglyceride_biosynthesis","sc_triglyceride_biosynthesis_wp266_69843","25","0.479","0.000","0.000","0.479"
"tryptophan_biosynthesis","sc_tryptophan_biosynthesis_wp165_71899","23","0.438","0.000","0.000","0.438"
"tryptophan_degradation","sc_tryptophan_degradation_wp301_67723","22","0.417","0.000","0.002","0.417"
"tryptophan_metabolism","sc_ribose_and_deoxyribose_phosphate_metabolism_wp220_69826","18","0.333","0.060","0.000","0.333"
"tyrosine_biosynthesis","sc_phenylalanine_and_tyrosine_biosynthesis_wp120_77891","21","0.396","0.000","0.000","0.396"
"tyrosine_degradation","sc_methionine_degradation_wp46_69881","17","0.313","0.004","0.000","0.313"
"tyrosine_metabolism","sc_deoxyribose_phosphate_metabolism_wp228_69829","16","0.292","0.039","0.000","0.292"
"ubiquinone_biosynthesis","sc_ubiquinone_biosynthesis_wp308_69850","23","0.438","0.000","0.000","0.438"
"ubiquitin_mediated_proteolysis","sc_core_lipid-linked_oligosaccharide_biosynthesis_wp114_69752","16","0.292","0.049","0.000","0.292"
"udp-glucose_conversion","sc_udp-glucose_conversion_wp109_69750","22","0.417","0.000","0.000","0.417"
"udp-n-acetylglucosamine_biosynthesis","sc_udp-n-acetylgalactosamine_biosynthesis_wp159_69764","35","0.688","0.000","0.000","0.688"
"upiquinone_q_prenylation","sc_upiquinone_q_prenylation_wp287_69848","24","0.458","0.000","0.000","0.458"
"valine,_leucine_and_isoleucine_biosynthesis","sc_isoleucine,_leucine,_and_valine_biosynthesis_wp198_69820","35","0.688","0.000","0.006","0.688"
"valine,_leucine_and_isoleucine_degradation","sc_isoleucine,_leucine,_and_valine_biosynthesis_wp198_69820","26","0.500","0.000","0.001","0.500"
"valine_biosynthesis","sc_isoleucine_and_valine_biosynthesis_wp359_69861","19","0.354","0.000","0.002","0.354"
"valine_degradation","sc_phenylalanine_degradation_wp573_74213","17","0.313","0.000","0.002","0.313"
"very_long_chain_fatty_acid_biosynthesis","sc_fatty_acid_biosynthesis,_initial_steps_wp137_69759","25","0.479","0.030","0.000","0.479"
"vitamin_b6_metabolism","sc_principle_pathways_of_carbon_metabolism_wp112_78138","16","0.292","0.395","0.079","0.292"
"xylose_metabolism","sc_deoxyribose_phosphate_metabolism_wp228_69829","16","0.292","0.004","0.000","0.292"
"xylulose-monophosphate_cycle","sc_xylulose-monophosphate_cycle_wp361_69862","28","0.542","0.000","0.000","0.542"
"xylulose_degradation","sc_trehalose_degradation,_low_osmolarity_wp70_70048","16","0.292","0.003","0.000","0.292"
