"Weight set: ","[0.0, 0.1, 0.0, 0.0]"
"intpathway","wikipathways","LCS","Normalized LCS","Gene Agreement","GenePair Agreement","Score"
"superpathway_of_leucine,_isoleucine,_and_valine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","17","0.313","0.527","0.150","0.053"
"superpathway_of_nad_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.640","0.206","0.064"
"superpathway_of_phosphatidate_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.335","0.017","0.034"
"superpathway_of_phospholipid_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.762","0.042","0.076"
"superpathway_of_polyamine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.238","0.042","0.024"
"superpathway_of_purine_biosynthesis_and_salvage_pathways","sc_cell_cycle_and_cell_division_wp414_78393","15","0.271","0.909","0.776","0.091"
"superpathway_of_sulfur_amino_acid_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.762","0.259","0.076"
"superpathway_of_tca_cycle_and_glyoxylate_cycle","sc_cell_cycle_and_cell_division_wp414_78393","17","0.313","0.831","0.370","0.083"
"superpathway_of_ubiquinone_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.420","0.082","0.042"
"synthesis_and_degradation_of_ketone_bodies","sc_cell_cycle_and_cell_division_wp414_78393","15","0.271","0.127","0.009","0.013"
"taurine_and_hypotaurine_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.127","0.009","0.013"
"tca_cycle","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.888","0.000","0.089"
"tca_cycle,_aerobic_respiration","sc_cell_cycle_and_cell_division_wp414_78393","15","0.271","0.745","0.233","0.074"
"terpenoid_backbone_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","11","0.188","0.588","0.186","0.059"
"tetrapyrrole_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.238","0.034","0.024"
"thiamine_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.288","0.058","0.029"
"thioredoxin_system","sc_cell_cycle_and_cell_division_wp414_78393","5","0.063","0.288","0.009","0.029"
"threonine_and_methionine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.588","0.150","0.059"
"threonine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.288","0.009","0.029"
"threonine_degradation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.127","0.017","0.013"
"toulene_degradation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.335","0.000","0.034"
"translation_factors","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.931","0.000","0.093"
"trehalose_anabolism","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.420","0.000","0.042"
"trehalose_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.238","0.009","0.024"
"trehalose_degradation","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.127","0.009","0.013"
"trehalose_degradation,_low_osmolarity","sc_cell_cycle_and_cell_division_wp414_78393","13","0.229","0.288","0.000","0.029"
"triglyceride_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.420","0.017","0.042"
"tryptophan_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.288","0.025","0.029"
"tryptophan_degradation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.727","0.220","0.073"
"tryptophan_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.727","0.199","0.073"
"tyrosine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.238","0.066","0.024"
"tyrosine_degradation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.127","0.025","0.013"
"tyrosine_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.707","0.098","0.071"
"ubiquinone_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.458","0.042","0.046"
"ubiquitin_mediated_proteolysis","sc_cytoplasmic_ribosomal_proteins_wp210_70142","13","0.229","0.938","0.000","0.094"
"udp-glucose_conversion","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.288","0.000","0.029"
"udp-n-acetylglucosamine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.238","0.025","0.024"
"upiquinone_q_prenylation","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.288","0.000","0.029"
"valine,_leucine_and_isoleucine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","15","0.271","0.707","0.240","0.071"
"valine,_leucine_and_isoleucine_degradation","sc_cell_cycle_and_cell_division_wp414_78393","16","0.292","0.778","0.050","0.078"
"valine_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.335","0.066","0.034"
"valine_degradation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.146","0.527","0.186","0.053"
"very_long_chain_fatty_acid_biosynthesis","sc_cell_cycle_and_cell_division_wp414_78393","12","0.208","0.288","0.009","0.029"
"vitamin_b6_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","7","0.104","0.527","0.164","0.053"
"xylose_metabolism","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.127","0.009","0.013"
"xylulose-monophosphate_cycle","sc_cell_cycle_and_cell_division_wp414_78393","8","0.125","0.288","0.000","0.029"
"xylulose_degradation","sc_cell_cycle_and_cell_division_wp414_78393","10","0.167","0.066","0.000","0.007"
