M26020 AAA35137.1 S000006025 YPL104W
AY723827 AAU09744.1 S000001192 YHR149C
AY557923 AAS56249.1 S000001526 YKL043W
AY693288 AAT93307.1 S000004569 YML101C-A
AY693326 AAT93345.1 S000006106 YPL185W
AY692689 AAT92708.1 S000003584 YJL048C
AY558088 AAS56414.1 S000001381 YIL119C
AF479905 AAL79218.1 S000028688 YML100W-A
AY693357 AAT93376.1 S000005726 YOR200W
AY558046 AAS56372.1 S000005722 YOR196C
AY558370 AAS56696.1 - YCL075W
Z49377 CAA89397.1 S000003638 YJL102W
AY693359 AAT93378.1 S000006126 YPL205C
M84169 AAA34801.1 S000001162 YHR120W
AY693274 AAT93293.1 S000000085 YAR053W
AY557650 AAS55976.1 S000002420 YDR013W
AY693293 AAT93312.1 S000004679 YMR075C-A
AY558183 AAS56509.1 S000000324 YBR120C
AY693333 AAT93352.1 S000002254 YDL096C
M14760 AAA34504.1 S000000313 YBR109C
AY693287 AAT93306.1 S000007231 YCR102W-A
AY558192 AAS56518.1 S000003953 YLL030C
AY557855 AAS56181.1 S000003633 YJL097W
AY558005 AAS56331.1 S000005384 YOL024W
AY692634 AAT92653.1 S000003978 YLL055W
AY558017 AAS56343.1 S000005347 YNR064C
AY558117 AAS56443.1 S000004612 YMR010W
AY558095 AAS56421.1 S000003355 YGR123C
AY692809 AAT92828.1 S000003221 YGL252C
AY692770 AAT92789.1 S000000440 YBR236C
AY558327 AAS56653.1 S000000192 YBL096C
AY558058 AAS56384.1 S000006155 YPL234C
AY723841 AAU09758.1 S000001752 YKR044W
AY558444 AAS56770.1 S000000761 YEL035C
AY693006 AAT93025.1 S000003095 YGL127C
AY558577 AAS56903.1 S000002605 YDR197W
AY558250 AAS56576.1 S000003622 YJL086C
AY558062 AAS56388.1 S000006369 YPR165W
AY693100 AAT93119.1 S000004489 YML027W
AY693228 AAT93247.1 S000006154 YPL233W
U22949 AAC49076.1 S000005867 YOR340C
AY558243 AAS56569.1 S000003567 YJL030W
AY558371 AAS56697.1 S000006439 YCR020W-B
AY692890 AAT92909.1 S000000402 YBR198C
AY558253 AAS56579.1 S000003715 YJL179W
AY692814 AAT92833.1 S000000128 YBL032W
AY723790 AAU09707.1 S000002719 YDR311W
AY558412 AAS56738.1 S000004749 YMR141C
AY558234 AAS56560.1 S000004492 YML030W
AY558350 AAS56676.1 S000001569 YKL086W
AY558248 AAS56574.1 S000003608 YJL072C
AY692900 AAT92919.1 S000001611 YKL128C
AY693040 AAT93059.1 S000004276 YLR286C
AY692800 AAT92819.1 S000004442 YLR450W
AY557912 AAS56238.1 S000003843 YJR083C
AY557985 AAS56311.1 S000004646 YMR043W
AY558419 AAS56745.1 S000004760 YMR152W
AY693155 AAT93174.1 S000001060 YHR018C
AY693038 AAT93057.1 S000004275 YLR285W
AY693168 AAT93187.1 S000006054 YPL133C
AY557852 AAS56178.1 S000003679 YJL143W
AY693045 AAT93064.1 S000000798 YEL072W
AY558067 AAS56393.1 S000006380 YPR176C
AY692679 AAT92698.1 S000005249 YNL305C
AY723813 AAU09730.1 S000003126 YGL158W
AY558572 AAS56898.1 S000002507 YDR100W
AY558380 AAS56706.1 S000003462 YGR230W
AY692773 AAT92792.1 S000001398 YIL136W
AY693183 AAT93202.1 S000000115 YBL019W
AY692656 AAT92675.1 S000003234 YGR002C
AY258324 AAO89010.1 S000003169 YGL201C
AY692939 AAT92958.1 S000002923 YDR515W
AY558006 AAS56332.1 S000005077 YNL133C
AY557768 AAS56094.1 S000001389 YIL127C
AY557692 AAS56018.1 S000002533 YDR126W
AY558158 AAS56484.1 S000002230 YDL072C
AY723844 AAU09761.1 S000004067 YLR077W
AY558542 AAS56868.1 S000003858 YJR097W
AY693173 AAT93192.1 S000000291 YBR087W
AY692975 AAT92994.1 S000000276 YBR072W
AY557857 AAS56183.1 S000001380 YIL118W
AY558076 AAS56402.1 S000001372 YIL110W
AY558025 AAS56351.1 S000005382 YOL022C
AY558056 AAS56382.1 S000006397 YPR193C
AY557944 AAS56270.1 S000004140 YLR150W
AY693365 AAT93384.1 S000005397 YOL037C
AY692932 AAT92951.1 S000006144 YPL223C
X75317 CAA53066.1 S000003617 YJL081C
AY558553 AAS56879.1 S000001286 YIL024C
AY693078 AAT93097.1 S000002971 YGL003C
AY692666 AAT92685.1 S000000668 YCR072C
AY693222 AAT93241.1 S000005546 YOR020C
CS000698 CAI47993.1 S000001518 YKL035W
AY557847 AAS56173.1 S000001452 YIR013C
AJ297938 CAC16163.1 S000004463 YML004C
AY693188 AAT93207.1 S000003035 YGL067W
AY692874 AAT92893.1 S000000132 YBL036C
AY557876 AAS56202.1 S000003767 YJR007W
U17503 AAC48984.1 S000000495 YBR291C
AY692557 AAT92576.1 S000004047 YLR057W
AY692862 AAT92881.1 S000000270 YBR066C
AY693276 AAT93295.1 S000006327 YPR123C
AY558285 AAS56611.1 S000001200 YHR157W
AY693304 AAT93323.1 S000005049 YNL105W
AY692622 AAT92641.1 S000005292 YNR009W
AY557952 AAS56278.1 S000004210 YLR220W
AY723862 AAU09779.1 S000005341 YNR058W
AB200248 BAE00005.1 S000005341 YNR058W
AY557979 AAS56305.1 S000004765 YMR156C
AY723807 AAU09724.1 S000003058 YGL090W
AY557775 AAS56101.1 S000003314 YGR082W
AY723843 AAU09760.1 S000001805 YKR097W
AF480006 AAL79319.1 S000028672 YLL066W-B
AY692612 AAT92631.1 S000000609 YCR016W
AY558026 AAS56352.1 S000005096 YNL152W
AJ585688 CAE52208.1 S000000735 YEL009C
AJ585690 CAE52210.1 S000000735 YEL009C
AJ585699 CAE52219.1 S000000735 YEL009C
AJ585695 CAE52215.1 S000000735 YEL009C
AJ585686 CAE52206.1 S000000735 YEL009C
AJ585697 CAE52217.1 S000000735 YEL009C
AJ585700 CAE52220.1 S000000735 YEL009C
AY693080 AAT93099.1 S000005436 YOL076W
AY558282 AAS56608.1 S000001110 YHR068W
M64998 AAA35226.1 S000003765 YJR005W
AY558498 AAS56824.1 S000003073 YGL105W
AY558579 AAS56905.1 S000002641 YDR233C
AY164798 AAP47373.1 S000002641 YDR233C
AY558524 AAS56850.1 S000006430 YDL045W-A
AY723832 AAU09749.1 S000001428 YIL166C
M29251 AAA34588.1 S000005499 YOL139C
AY693342 AAT93361.1 S000001601 YKL118W
AY692697 AAT92716.1 S000006171 YPL250C
AY558521 AAS56847.1 S000006091 YPL170W
AY692865 AAT92884.1 S000004372 YLR380W
AY558116 AAS56442.1 S000004624 YMR022W
AY693079 AAT93098.1 S000004425 YLR433C
AY558435 AAS56761.1 S000000466 YBR262C
AY557705 AAS56031.1 S000000226 YBR022W
AY557677 AAS56003.1 S000002485 YDR078C
AY558055 AAS56381.1 - YPL276W
AY557682 AAS56008.1 S000002513 YDR106W
AY557892 AAS56218.1 S000003828 YJR067C
AY558004 AAS56330.1 S000005101 YNL157W
AY693223 AAT93242.1 S000005720 YOR194C
AY558028 AAS56354.1 S000005197 YNL253W
AY557720 AAS56046.1 S000007255 YDR322C-A
AY692752 AAT92771.1 S000003190 YGL222C
AY643812 AAT65075.1 S000001211 YHR168W
AF090442 AAC83700.1 S000004274 YLR284C
AY558552 AAS56878.1 S000001278 YIL016W
AY723773 AAU09690.1 S000002483 YDR076W
AF479979 AAL79292.1 S000028715 YOR186C-A
AY558174 AAS56500.1 S000002918 YDR510W
AY028645 AAK26176.1 S000002579 YDR172W
AY028649 AAK26180.1 S000002579 YDR172W
AF263099 AAF99684.1 S000002579 YDR172W
AY692693 AAT92712.1 S000005099 YNL155W
AY557800 AAS56126.1 S000002890 YDR482C
AY692917 AAT92936.1 S000004590 YML121W
AB017925 BAA33474.1 S000001214 YHR171W
AY692798 AAT92817.1 S000000844 YER042W
AY558410 AAS56736.1 S000004741 YMR134W
AJ238650 CAB59334.1 S000003013 YGL045W
AY558241 AAS56567.1 S000003540 YJL003W
AY558529 AAS56855.1 S000000295 YBR091C
AY557848 AAS56174.1 S000001289 YIL027C
AY558316 AAS56642.1 S000001757 YKR049C
AY692822 AAT92841.1 S000005421 YOL060C
AY558512 AAS56838.1 S000003500 YGR268C
AY558518 AAS56844.1 S000004787 YMR175W
AY558357 AAS56683.1 S000001625 YKL142W
M35237 AAA34437.1 S000005419 YOL058W
AY723809 AAU09726.1 S000003080 YGL112C
AY692926 AAT92945.1 S000005502 YOL142W
AY692583 AAT92602.1 S000005144 YNL200C
AY693120 AAT93139.1 S000004551 YML086C
AY558526 AAS56852.1 S000002239 YDL081C
AY692596 AAT92615.1 S000004277 YLR287C
AY557845 AAS56171.1 S000001129 YHR087W
AY692999 AAT93018.1 S000003562 YJL025W
AY692562 AAT92581.1 S000006146 YPL225W
AY558499 AAS56825.1 S000003094 YGL126W
Z33503 CAA83911.1 S000002409 YDR002W
AY558578 AAS56904.1 S000002634 YDR226W
AY692749 AAT92768.1 S000003006 YGL038C
AY557675 AAS56001.1 S000002584 YDR177W
AY558093 AAS56419.1 S000001490 YKL007W
AY558487 AAS56813.1 S000003117 YGL149W
AY558469 AAS56795.1 S000001843 YFL051C
AY558232 AAS56558.1 S000004484 YML022W
AY692904 AAT92923.1 S000003251 YGR019W
AY692924 AAT92943.1 S000003856 YJR095W
AY693184 AAT93203.1 S000001422 YIL160C
AY558486 AAS56812.1 S000003048 YGL080W
AB200247 BAE00004.1 S000005341 YNR058W
AY558329 AAS56655.1 S000005967 YPL046C
AB007691 BAA22612.1 S000005967 YPL046C
AY558426 AAS56752.1 S000005400 YOL040C
AJ009784 CAA08831.1 S000001140 YHR098C
AY692888 AAT92907.1 S000001371 YIL109C
AY692828 AAT92847.1 S000004994 YNL049C
AJ009783 CAA08830.1 S000004994 YNL049C
AY558359 AAS56685.1 S000001630 YKL147C
AY692737 AAT92756.1 S000003980 YLL057C
AY557772 AAS56098.1 S000003260 YGR028W
AY693340 AAT93359.1 S000003414 YGR182C
AY558549 AAS56875.1 S000001185 YHR143W-A
AY558039 AAS56365.1 S000005787 YOR261C
AY558401 AAS56727.1 S000004634 YMR031W-A
DQ356643 ABC86947.1 S000004777 YMR167W
DQ356642 ABC86946.1 S000004777 YMR167W
DQ356638 ABC86942.1 S000004777 YMR167W
DQ356645 ABC86949.1 S000004777 YMR167W
DQ356639 ABC86943.1 S000004777 YMR167W
DQ356641 ABC86945.1 S000004777 YMR167W
DQ356640 ABC86944.1 S000004777 YMR167W
DQ356634 ABC86938.1 S000004777 YMR167W
DQ356633 ABC86937.1 S000004777 YMR167W
DQ356635 ABC86939.1 S000004777 YMR167W
DQ356646 ABC86950.1 S000004777 YMR167W
AY558448 AAS56774.1 S000000811 YER009W
AY557942 AAS56268.1 S000004155 YLR165C
AY723812 AAU09729.1 S000003112 YGL144C
AY558103 AAS56429.1 S000001012 YHL020C
AY693207 AAT93226.1 S000005469 YOL109W
AY693367 AAT93386.1 S000005406 YOL046C
AY692951 AAT92970.1 S000000194 YBL098W
AY557796 AAS56122.1 S000002663 YDR255C
AY693074 AAT93093.1 S000000233 YBR029C
AY693065 AAT93084.1 S000004792 YMR180C
AY558464 AAS56790.1 S000001880 YFL014W
AY557861 AAS56187.1 S000003770 YJR010C-A
AY558030 AAS56356.1 S000005578 YOR052C
Z74154 CAA98673.1 S000002264 YDL106C
AJ585748 CAE52268.1 S000001868 YFL026W
AJ585750 CAE52270.1 S000001868 YFL026W
AJ585746 CAE52266.1 S000001868 YFL026W
AJ585738 CAE52258.1 S000001868 YFL026W
AJ585741 CAE52261.1 S000001868 YFL026W
AJ585739 CAE52259.1 S000001868 YFL026W
AJ585742 CAE52262.1 S000001868 YFL026W
AJ585736 CAE52256.1 S000001868 YFL026W
AY558378 AAS56704.1 S000003439 YGR207C
AY693024 AAT93043.1 S000001624 YKL141W
AY693021 AAT93040.1 S000004816 YMR203W
AF480014 AAL79327.1 S000028698 YNL024C-A
AY558042 AAS56368.1 S000005922 YPL001W
AY557827 AAS56153.1 S000003292 YGR060W
AY558140 AAS56466.1 S000006192 YPL271W
AY558221 AAS56547.1 S000004356 YLR364W
AY558539 AAS56865.1 S000001349 YIL087C
AY558490 AAS56816.1 S000000220 YBR016W
AX814364 CAE83478.1 S000001049 YHR007C
AY692801 AAT92820.1 S000000845 YER043C
AB027473 BAA77792.1 S000000032 YAL034W-A
AJ311354 CAC85303.1 S000001775 YKR067W
AX814368 CAE83480.1 S000003407 YGR175C
AY692705 AAT92724.1 S000005637 YOR111W
AY692853 AAT92872.1 S000006094 YPL173W
AY693265 AAT93284.1 - YIL171W
AY692997 AAT93016.1 S000000487 YBR283C
AY557913 AAS56239.1 S000003838 YJR077C
AY558313 AAS56639.1 S000003824 YJR063W
AY693204 AAT93223.1 S000005936 YPL015C
AY558222 AAS56548.1 S000004348 YLR356W
AY557829 AAS56155.1 S000003516 YGR284C
AY557963 AAS56289.1 S000004808 YMR195W
AY692565 AAT92584.1 S000003785 YJR024C
AY693195 AAT93214.1 S000005626 YOR100C
AF479961 AAL79274.1 S000028669 YKR075W-A
AY558258 AAS56584.1 S000007348 YJR135W-A
AY558438 AAS56764.1 S000005931 YPL010W
AY693318 AAT93337.1 S000006218 YPR014C
AY558255 AAS56581.1 S000003869 YJR108W
AY557943 AAS56269.1 S000004182 YLR192C
AX026963 CAC09120.1 S000000357 YBR153W
AY558349 AAS56675.1 S000001499 YKL016C
AY558429 AAS56755.1 S000005478 YOL118C
CQ897043 CAH69777.1 S000006344 YPR140W
AY692739 AAT92758.1 S000006344 YPR140W
AY558013 AAS56339.1 S000005369 YOL009C
AY692717 AAT92736.1 S000005135 YNL191W
AY558195 AAS56521.1 S000003982 YLL059C
AY723803 AAU09720.1 S000001902 YFR006W
AY692662 AAT92681.1 S000000125 YBL029W
AY692774 AAT92793.1 S000005018 YNL074C
AY558242 AAS56568.1 S000003544 YJL007C
AY692902 AAT92921.1 S000004129 YLR139C
AY692706 AAT92725.1 S000001304 YIL042C
AY558141 AAS56467.1 S000006219 YPR015C
AF479938 AAL79251.1 S000028609 YCR081C-A
AY558172 AAS56498.1 S000002884 YDR476C
AY558210 AAS56536.1 S000004126 YLR136C
AY692626 AAT92645.1 S000000151 YBL055C
AF479922 AAL79235.1 S000028624 YER158W-A
AY558202 AAS56528.1 S000004015 YLR025W
AY693020 AAT93039.1 S000004483 YML021C
AY558471 AAS56797.1 S000001916 YFR020W
AY558152 AAS56478.1 S000000665 YCR069W
AY558273 AAS56599.1 S000003437 YGR205W
Z36069 CAA85162.1 S000000404 YBR200W
AY692572 AAT92591.1 S000004689 YMR084W
AY692944 AAT92963.1 S000004059 YLR069C
AY558162 AAS56488.1 S000002281 YDL123W
AF479980 AAL79293.1 S000028716 YOR231C-A
AY723811 AAU09728.1 S000003109 YGL141W
AY558009 AAS56335.1 S000005344 YNR061C
AY557844 AAS56170.1 S000003680 YJL144W
AY693335 AAT93354.1 S000003460 YGR228W
AY693003 AAT93022.1 S000004870 YMR257C
AY558374 AAS56700.1 S000002340 YDL181W
Z71388 CAA95991.1 S000005056 YNL112W
AY558155 AAS56481.1 S000002162 YDL004W
AY557823 AAS56149.1 S000003285 YGR053C
AY557818 AAS56144.1 S000003267 YGR035C
AY692990 AAT93009.1 S000006044 YPL123C
AY557915 AAS56241.1 S000001634 YKL151C
AY558341 AAS56667.1 S000000750 YEL024W
AY692568 AAT92587.1 S000002396 YDL237W
AY693296 AAT93315.1 S000003243 YGR011W
AY558135 AAS56461.1 S000006065 YPL144W
AY558439 AAS56765.1 S000005942 YPL021W
AY558146 AAS56472.1 S000000594 YCR001W
AY558278 AAS56604.1 S000001093 YHR051W
AY558169 AAS56495.1 S000000061 YAL066W
AY557993 AAS56319.1 S000004531 YML066C
AY558545 AAS56871.1 S000003271 YGR039W
AY692819 AAT92838.1 S000001369 YIL107C
Z74257 CAA98787.1 S000002368 YDL209C
AY693132 AAT93151.1 S000000956 YER154W
AY693109 AAT93128.1 S000003328 YGR096W
AY557904 AAS56230.1 S000001523 YKL040C
AY558020 AAS56346.1 S000005175 YNL231C
AY692684 AAT92703.1 S000005812 YOR286W
AY692593 AAT92612.1 S000003342 YGR110W
U83459 AAB64088.1 S000001861 YFL033C
AY557752 AAS56078.1 S000005741 YOR215C
AY558453 AAS56779.1 S000000846 YER044C
AY558372 AAS56698.1 S000000599 YCR006C
AY693302 AAT93321.1 S000004366 YLR374C
AF479948 AAL79261.1 S000028634 YGL123C-A
AY693368 AAT93387.1 S000004805 YMR193C-A
U51673 AAC49436.1 S000004286 YLR295C
AY558320 AAS56646.1 S000004400 YLR408C
AY723768 AAU09685.1 S000002441 YDR034C
AY557821 AAS56147.1 S000001050 YHR008C
AY693071 AAT93090.1 S000002371 YDL212W
AY558205 AAS56531.1 S000004056 YLR066W
AF479923 AAL79236.1 S000028628 YFL013W-A
AY557860 AAS56186.1 S000001332 YIL070C
AF003698 AAB61341.1 S000003487 YGR255C
AY558537 AAS56863.1 S000007247 YML081C-A
AY558479 AAS56805.1 S000002986 YGL018C
M98808 AAA34814.1 S000000522 YCL017C
AY558189 AAS56515.1 S000003964 YLL041C
AY557785 AAS56111.1 S000000955 YER153C
AY557660 AAS55986.1 S000002477 YDR070C
AY557722 AAS56048.1 S000002694 YDR286C
AY693194 AAT93213.1 S000004578 YML110C
AY693099 AAT93118.1 S000004695 YMR089C
AY558368 AAS56694.1 S000006330 YPR126C
AY692835 AAT92854.1 S000000472 YBR268W
AY557865 AAS56191.1 S000000243 YBR039W
AB036928 BAC97839.1 S000000243 YBR039W
AB036929 BAC97840.1 S000000243 YBR039W
AY557914 AAS56240.1 S000001568 YKL085W
AY558068 AAS56394.1 S000006395 YPR191W
AY557784 AAS56110.1 S000000952 YER150W
AY558228 AAS56554.1 S000004387 YLR395C
AY693358 AAT93377.1 S000000196 YBL100C
M32795 AAA34436.1 S000005500 YOL140W
AY692635 AAT92654.1 S000006208 YPR004C
X81396 CAA57159.1 S000004778 YMR168C
AY558309 AAS56635.1 S000003786 YJR025C
X12356 CAA30917.1 S000002706 YDR298C
AY557755 AAS56081.1 S000005678 YOR152C
X05056 CAA28727.1 S000007268 Q0085
AY557810 AAS56136.1 S000002895 YDR487C
AY557733 AAS56059.1 S000002644 YDR236C
AY693067 AAT93086.1 S000005402 YOL042W
A78724 CAB58939.1 S000000460 YBR256C
AY692576 AAT92595.1 S000004692 YMR086W
AY558489 AAS56815.1 S000003159 YGL191W
AY693218 AAT93237.1 S000005378 YOL018C
AY558347 AAS56673.1 S000003569 YJL032W
AY558099 AAS56425.1 S000000207 YBR003W
AY557934 AAS56260.1 S000004006 YLR016C
Z71357 CAA95955.1 S000005025 YNL081C
AY558323 AAS56649.1 S000005972 YPL051W
AY693346 AAT93365.1 S000001403 YIL141W
AY692994 AAT93013.1 S000004638 YMR035W
CQ785696 CAG17728.1 S000005980 YPL059W
AY557920 AAS56246.1 S000003829 YJR068W
AY692808 AAT92827.1 S000004507 YML043C
AY693331 AAT93350.1 S000002276 YDL118W
AF479956 AAL79269.1 S000028656 YIL021C-A
AY692663 AAT92682.1 S000000475 YBR271W
AY723782 AAU09699.1 S000002647 YDR239C
AY692972 AAT92991.1 S000002246 YDL088C
AY558123 AAS56449.1 S000004865 YMR252C
AY723815 AAU09732.1 S000003351 YGR119C
AY692664 AAT92683.1 S000003579 YJL043W
AY557653 AAS55979.1 S000002450 YDR043C
AY693041 AAT93060.1 S000003728 YJL192C
AF479939 AAL79252.1 S000028612 YDL159C-B
AY692867 AAT92886.1 S000001417 YIL155C
AY558271 AAS56597.1 S000003346 YGR114C
AY692823 AAT92842.1 S000003517 YGR285C
AY558301 AAS56627.1 S000001313 YIL051C
AY558185 AAS56511.1 S000000315 YBR111C
AY557736 AAS56062.1 S000002683 YDR275W
Z71666 CAA96332.1 S000005334 YNR051C
Z74981 CAA99266.1 S000005599 YOR073W
U06465 AAA20596.1 S000004658 YMR054W
Z72857 CAA97074.1 S000003304 YGR072W
Z71604 CAA96260.1 S000005272 YNL328C
Z75131 CAA99441.1 S000005749 YOR223W
M55440 AAA35228.1 S000002979 YGL011C
X69100 CAA48846.1 S000004624 YMR022W
Z72788 CAA96986.1 S000003235 YGR003W
Z28143 CAA81984.1 S000001626 YKL143W
Z73135 CAA97479.1 S000003953 YLL030C
Z74156 CAA98675.1 S000002266 YDL108W
Z28010 CAA81845.1 S000001493 YKL010C
L29340 AAA21840.1 S000004283 YLR292C
U36382 AAA79781.1 S000005436 YOL076W
M31304 AAA34771.1 S000005154 YNL210W
Z36100 CAA85194.1 S000000435 YBR231C
Z49404 CAA89424.1 S000003665 YJL129C
Z74965 CAA99250.1 S000005583 YOR057W
M21328 AAA34728.1 S000003665 YJL129C
Z74754 CAA99011.1 S000005372 YOL012C
Z75136 CAA99448.1 S000005754 YOR228C
Z73035 CAA97279.1 S000003482 YGR250C
Z49305 CAA89321.1 S000003567 YJL030W
Z73155 CAA97502.1 S000003973 YLL050C
S57895 AAB19613.1 S000002984 YGL016W
Z71619 CAA96280.1 S000005287 YNR004W
X56731 CAA40055.1 S000004557 YML092C
Z36063 CAA85156.1 S000000398 YBR194W
Z71558 CAA96194.1 S000005226 YNL282W
Z73291 CAA97687.1 S000004109 YLR119W
Z74286 CAA98818.1 S000002397 YDL238C
M86908 AAA34608.1 S000004204 YLR214W
X73030 CAA51513.1 S000005104 YNL160W
Z28100 CAA81940.1 S000001583 YKL100C
X07694 CAA30533.1 S000001461 YIR022W
Z35781 CAA84839.1 S000000116 YBL020W
Z71549 CAA96181.1 S000005217 YNL273W
Z72526 CAA96704.1 S000002972 YGL004C
Z73126 CAA97469.1 S000003944 YLL021W
Z49606 CAA89636.1 S000003867 YJR106W
Z75259 CAA99680.1 S000005878 YOR351C
Z73517 CAA97866.1 S000006082 YPL161C
Z71547 CAA96179.1 S000005215 YNL271C
Z11745 CAA77804.1 S000002364 YDL205C
Z72529 CAA96707.1 S000002975 YGL007W
Z35796 CAA84855.1 S000000131 YBL035C
Z49412 CAA89432.1 S000003673 YJL137C
Z72680 CAA96870.1 S000003126 YGL158W
Z49359 CAA89377.1 S000003620 YJL084C
Z28193 CAA82037.1 S000001676 YKL193C
Z73309 CAA97708.1 S000004127 YLR137W
Z72970 CAA97211.1 S000003417 YGR185C
Z72543 CAA96721.1 S000002989 YGL021W
Z28130 CAA81971.1 S000001613 YKL130C
Z73242 CAA97627.1 S000004060 YLR070C
Z72855 CAA97072.1 S000003302 YGR070W
Z74092 CAA98603.1 S000002202 YDL044C
Z28084 CAA81922.1 S000001567 YKL084W
X06238 CAA29581.1 S000004172 YLR182W
Z72964 CAA97205.1 S000003411 YGR179C
Z71453 CAA96069.1 S000005121 YNL177C
Z72829 CAA97043.1 S000003276 YGR044C
Z74243 CAA98772.1 S000002354 YDL195W
Z49623 CAA89654.1 S000003884 YJR123W
Z74245 CAA98774.1 S000002356 YDL197C
Z73192 CAA97543.1 S000004010 YLR020C
Z75180 CAA99497.1 S000005798 YOR272W
Z74767 CAA99025.1 S000005385 YOL025W
Z28185 CAA82028.1 S000001668 YKL185W
Z74076 CAA98587.1 S000002186 YDL028C
Z75035 CAA99326.1 S000005653 YOR127W
Z28055 CAA81892.1 S000001538 YKL055C
Z74314 CAA98838.1 S000002425 YDR018C
Z72983 CAA97225.1 S000003430 YGR198W
J03457 AAA35005.1 S000002998 YGL030W
Z72924 CAA97152.1 S000003371 YGR139W
Z73161 CAA97509.1 S000003979 YLL056C
Z74359 CAA98881.1 S000002470 YDR063W
X54466 CAA38348.1 S000004844 YMR231W
Z49370 CAA89389.1 S000003631 YJL095W
Z73326 CAA97726.1 S000004144 YLR154C
Z28062 CAA81899.1 S000001545 YKL062W
X52649 CAA36874.1 S000005056 YNL112W
Z71348 CAA95946.1 S000005016 YNL072W
Z74372 CAA98895.1 S000002483 YDR076W
Z73065 CAA97311.1 S000003512 YGR280C
U31970 AAA74984.1 S000003323 YGR091W
Z74913 CAA99193.1 S000005531 YOR005C
U30295 AAC49077.1 S000003543 YJL006C
Z71350 CAA95948.1 S000005018 YNL074C
U25279 AAC49982.1 S000004674 YMR070W
Z35897 CAA84970.1 S000000232 YBR028C
Z75164 CAA99478.1 S000005782 YOR256C
D25285 BAA04973.1 S000005122 YNL178W
Z49376 CAA89396.1 S000003637 YJL101C
M55436 AAA35227.1 S000005889 YOR362C
X90580 CAA62208.1 S000004571 YML103C
Z73174 CAA97524.1 S000003992 YLR002C
Z74205 CAA98731.1 S000002316 YDL157C
D32208 BAA06907.1 S000004140 YLR150W
Z36042 CAA85134.1 S000000377 YBR173C
Z74938 CAA99220.1 S000005556 YOR030W
D11386 BAA01982.1 S000005400 YOL040C
Z75102 CAA99407.1 S000005720 YOR194C
L08839 AAA34807.1 S000001545 YKL062W
AJ223169 CAA11146.1 S000004676 YMR072W
Z72888 CAA97106.1 S000003335 YGR103W
S74018 AAB32164.1 S000003679 YJL143W
U36473 AAA79062.1 S000003440 YGR208W
D32073 BAA22093.1 S000000444 YBR240C
Z75115 CAA99422.1 S000005733 YOR207C
D16502 BAA03952.1 S000003387 YGR155W
D16502 BAA03953.1 S000003388 YGR156W
Z71559 CAA96195.1 S000005227 YNL283C
Z35965 CAA85049.1 S000000300 YBR096W
Z74840 CAA99111.1 S000005458 YOL098C
Z28302 CAA82156.1 S000001785 YKR077W
Z73146 CAA97492.1 S000003964 YLL041C
Z35874 CAA84941.1 S000000209 YBR005W
Z75023 CAA99313.1 S000005641 YOR115C
Z71489 CAA96115.1 S000005157 YNL213C
Z73510 CAA97859.1 S000006075 YPL154C
Z74172 CAA98692.1 S000002282 YDL124W
D37935 BAA07154.1 S000006111 YPL190C
L11274 AAB59318.1 S000005736 YOR210W
Z71321 CAA95912.1 S000004990 YNL045W
Z74275 CAA98806.1 S000002386 YDL227C
S64901 AAB27889.1 S000000065 YAR007C
Z74887 CAA99166.1 S000005505 YOL145C
Z28014 CAA81849.1 S000001497 YKL014C
Z28257 CAA82104.1 S000001740 YKR032W
M30162 AAB59310.1 S000001665 YKL182W
M29582 AAA34847.1 S000000980 YER178W
Z74094 CAA98606.1 S000002204 YDL046W
Z74094 CAA98607.1 S000006430 YDL045W-A
Z36109 CAA85203.1 S000000444 YBR240C
Z74060 CAA98569.1 S000002170 YDL012C
M59247 AAA34652.1 S000003850 YJR090C
Z25464 CAA80958.1 S000001623 YKL140W
Z25464 CAA80955.1 S000001626 YKL143W
Z25464 CAA80956.1 S000001625 YKL142W
Z25464 CAA80954.1 S000001627 YKL144C
Z25464 CAA80957.1 S000001624 YKL141W
Z74306 CAA98830.1 S000002417 YDR010C
X52482 CAA36726.1 S000003465 YGR233C
M15499 AAA34999.1 S000006314 YPR110C
Z72691 CAA96881.1 S000003137 YGL169W
Z74261 CAA98791.1 S000002372 YDL213C
U32580 AAA74626.1 S000004886 YMR273C
X59750 CAA42422.1 S000003709 YJL173C
Z71658 CAA96324.1 S000005326 YNR043W
Z35783 CAA84841.1 S000000118 YBL022C
S72460 AAB31378.1 S000004467 YML008C
X05342 CAA28953.1 S000004526 YML061C
Z72912 CAA97138.1 S000003359 YGR127W
Z72726 CAA96916.1 S000003172 YGL204C
L10288 AAA34819.1 S000003090 YGL122C
M91167 AAA35135.1 S000005950 YPL029W
M63641 AAA34909.1 S000002979 YGL011C
Z71455 CAA96071.1 S000005123 YNL179C
U18313 AAA67935.1 S000005470 YOL110W
Z28156 CAA81998.1 S000001639 YKL156W
Z73634 CAA98015.1 S000006199 YPL278C
Z73245 CAA97630.1 S000004063 YLR073C
U17264 AAB46627.1 S000003280 YGR048W
Z75162 CAA99476.1 S000005780 YOR254C
Z73017 CAA97260.1 S000003464 YGR232W
Z72998 CAA97240.1 S000003445 YGR213C
Z74152 CAA98671.1 S000002262 YDL104C
Z74810 CAA99078.1 S000005429 YOL068C
D10263 BAA01103.1 S000003098 YGL130W
